# loss,acc,val_loss,val_acc
2.516399999999999970e+00 1.627000000000000113e-01 2.399099999999999788e+00 2.567999999999999727e-01
1.817099999999999937e+00 3.362999999999999878e-01 1.951600000000000001e+00 3.232999999999999763e-01
1.651399999999999979e+00 3.981999999999999984e-01 1.831599999999999895e+00 3.417000000000000037e-01
1.564999999999999947e+00 4.279000000000000026e-01 1.695599999999999996e+00 4.016000000000000125e-01
1.486699999999999910e+00 4.632000000000000006e-01 1.677200000000000024e+00 3.952999999999999847e-01
1.421999999999999931e+00 4.854999999999999871e-01 1.573800000000000088e+00 4.481999999999999873e-01
1.368600000000000039e+00 5.054999999999999494e-01 1.429100000000000037e+00 4.983000000000000207e-01
1.303900000000000059e+00 5.336999999999999522e-01 1.370100000000000096e+00 5.190000000000000169e-01
1.266799999999999926e+00 5.446999999999999620e-01 1.314999999999999947e+00 5.339000000000000412e-01
1.213200000000000056e+00 5.658999999999999586e-01 1.343699999999999894e+00 5.145999999999999464e-01
